sample_id,model,method,MoRF,LeRF,diff,is_flipped
0,mobilevit_s,GradCAM,0.22858628863468772,0.4484020993113517,0.219815810676664,False
0,mobilevit_s,IntegratedGradients,0.17802156409079548,0.4439846009016037,0.26596303681080824,False
0,mobilevit_s,Random,0.3218425344017305,0.26847201930977466,-0.05337051509195584,True
0,resnet50,GradCAM,0.376812543347478,0.4999999076128006,0.12318736426532262,False
0,resnet50,IntegratedGradients,0.4565220024902374,0.49999987483024594,0.04347787234000855,False
0,resnet50,LRP,0.26209573749220005,0.49999979436397546,0.2379040568717754,False
0,resnet50,Random,0.49278264194726945,0.4971062630414963,0.004323621094226848,False
0,vit_base,Chefer-LRP,0.4229689404368401,0.42606179416179657,0.0030928537249564902,False
0,vit_base,GradCAM,0.43452383577823633,0.40055985450744636,-0.03396398127078998,True
0,vit_base,IntegratedGradients,0.4226536631584168,0.4089380100369454,-0.013715653121471383,True
0,vit_base,Random,0.42754121124744415,0.43042831122875214,0.0028870999813079834,False
1,mobilevit_s,GradCAM,0.34929959401488303,0.4656547695398331,0.11635517552495006,False
1,mobilevit_s,IntegratedGradients,0.4154145695269108,0.37443436980247496,-0.04098019972443584,True
1,mobilevit_s,Random,0.22117524479835995,0.27728218533302423,0.05610694053466428,False
1,resnet50,GradCAM,0.4779847294092178,0.49996766448020935,0.021982935070991527,False
1,resnet50,IntegratedGradients,0.4985247135162354,0.49994595348834997,0.001421239972114574,False
1,resnet50,LRP,0.2811408972018398,0.49990491271018983,0.21876401550835,False
1,resnet50,Random,0.2263431951927032,0.3199822181686614,0.09363902297595819,False
1,vit_base,Chefer-LRP,0.34813256487250327,0.39974902421236036,0.05161645933985709,False
1,vit_base,GradCAM,0.34659350141882894,0.4000287681818009,0.053435266762971945,False
1,vit_base,IntegratedGradients,0.3840929120779038,0.4061375379562378,0.022044625878334,False
1,vit_base,Random,0.37067243456840515,0.3562666118144989,-0.014405822753906228,True
2,mobilevit_s,GradCAM,0.255919386446476,0.3761876165866852,0.12026823014020921,False
2,mobilevit_s,IntegratedGradients,0.04272091138263932,0.26171963885426525,0.2189987274716259,False
2,mobilevit_s,Random,0.029191739772795704,0.0469551489710284,0.017763409198232695,False
2,resnet50,GradCAM,0.11226397044956685,0.49852960705757143,0.3862656366080046,False
2,resnet50,IntegratedGradients,0.19666943522170188,0.49279597848653794,0.29612654326483606,False
2,resnet50,LRP,0.10956458444707097,0.4984558627009392,0.38889127825386827,False
2,resnet50,Random,0.17519267154857518,0.13904836992733186,-0.036144301621243324,True
2,vit_base,Chefer-LRP,0.35335864238440995,0.42681860476732253,0.07345996238291258,False
2,vit_base,GradCAM,0.34193193241953845,0.4265212118625641,0.08458927944302563,False
2,vit_base,IntegratedGradients,0.4153127282857894,0.41862613409757615,0.0033134058117867404,False
2,vit_base,Random,0.42516000419855116,0.41040535271167755,-0.014754651486873605,True
3,mobilevit_s,GradCAM,0.11177332522347569,0.33862727135419846,0.22685394613072277,False
3,mobilevit_s,IntegratedGradients,0.14742155691492373,0.24771602991968392,0.10029447300476019,False
3,mobilevit_s,Random,0.11135023829410784,0.16702246311615457,0.05567222482204673,False
3,resnet50,GradCAM,0.4279595335945487,0.49999999403953554,0.07204046044498685,False
3,resnet50,IntegratedGradients,0.257223045732826,0.499999862909317,0.24277681717649102,False
3,resnet50,LRP,0.38692015632987026,0.4999999672174454,0.11307981088757513,False
3,resnet50,Random,0.3165669564157725,0.294905548170209,-0.021661408245563507,True
3,vit_base,Chefer-LRP,0.37526669427752496,0.4402465015649795,0.06497980728745456,False
3,vit_base,GradCAM,0.41988538727164265,0.436061792075634,0.01617640480399135,False
3,vit_base,IntegratedGradients,0.42170969545841214,0.4284448310732841,0.00673513561487199,False
3,vit_base,Random,0.4325539097189904,0.4409109145402908,0.008357004821300418,False
4,mobilevit_s,GradCAM,0.05429449052608106,0.3876204609870911,0.33332597046101003,False
4,mobilevit_s,IntegratedGradients,0.037205444922437894,0.4340026453137398,0.3967972003913019,False
4,mobilevit_s,Random,0.04075366511588072,0.05712975040096353,0.01637608528508281,False
4,resnet50,GradCAM,0.04957388757902664,0.49979428946971893,0.4502204018906923,False
4,resnet50,IntegratedGradients,0.06646870214899536,0.4998524203896522,0.43338371824065686,False
4,resnet50,LRP,0.04094923497177661,0.4997539907693863,0.4588047557976097,False
4,resnet50,Random,0.3035333748906851,0.3402834457345307,0.03675007084384557,False
4,vit_base,Chefer-LRP,0.07096118803601713,0.42175842672586444,0.3507972386898473,False
4,vit_base,GradCAM,0.07748628358822317,0.4287475019693375,0.3512612183811143,False
4,vit_base,IntegratedGradients,0.2478391319513321,0.42176907807588576,0.17392994612455367,False
4,vit_base,Random,0.3495822880417109,0.385289391130209,0.035707103088498116,False
5,mobilevit_s,GradCAM,0.11577177265717184,0.4527883172035217,0.3370165445463499,False
5,mobilevit_s,IntegratedGradients,0.044804528372696946,0.4566664919257164,0.41186196355301946,False
5,mobilevit_s,Random,0.11866180986776273,0.09259315908568624,-0.026068650782076486,True
5,resnet50,GradCAM,0.31120621338486665,0.4998254507780075,0.18861923739314085,False
5,resnet50,IntegratedGradients,0.24782079765573145,0.49917125254869466,0.2513504548929632,False
5,resnet50,LRP,0.08078999686986207,0.49964417517185217,0.4188541783019901,False
5,resnet50,Random,0.21502043432556095,0.20247500706464053,-0.012545427260920422,True
5,vit_base,Chefer-LRP,0.21177384445909414,0.42693098783493044,0.2151571433758363,False
5,vit_base,GradCAM,0.2574702535755933,0.43081311136484146,0.17334285778924818,False
5,vit_base,IntegratedGradients,0.4384696245193482,0.27246915847063063,-0.16600046604871754,True
5,vit_base,Random,0.3579781502485275,0.3557727485895157,-0.002205401659011841,True
6,mobilevit_s,GradCAM,0.2885247360914946,0.2568851469899528,-0.0316395891015418,True
6,mobilevit_s,IntegratedGradients,0.11668599464464935,0.11315539281931707,-0.003530601825332283,True
6,mobilevit_s,Random,0.11572765217315467,0.08080928537310682,-0.034918366800047854,True
6,resnet50,GradCAM,0.4985383093357086,0.4999999552965164,0.0014616459608078336,False
6,resnet50,IntegratedGradients,0.4991322413086891,0.49999881982803346,0.000866578519344352,False
6,resnet50,LRP,0.451829443871975,0.49999943077564235,0.04816998690366736,False
6,resnet50,Random,0.22651653224602342,0.2267509307246655,0.00023439847864209495,False
6,vit_base,Chefer-LRP,0.3116400398314,0.4116814747452736,0.10004143491387363,False
6,vit_base,GradCAM,0.3768954902887345,0.397981296479702,0.021085806190967504,False
6,vit_base,IntegratedGradients,0.3621469661593437,0.39422422945499425,0.03207726329565053,False
6,vit_base,Random,0.32520236149430276,0.38171364068984986,0.056511279195547104,False
7,mobilevit_s,GradCAM,0.24140015095472334,0.30930517613887787,0.06790502518415453,False
7,mobilevit_s,IntegratedGradients,0.1863271754235029,0.289597874134779,0.10327069871127609,False
7,mobilevit_s,Random,0.1876706032315269,0.22194895073771476,0.034278347506187856,False
7,resnet50,GradCAM,0.33280253633856777,0.4999742910265923,0.16717175468802453,False
7,resnet50,IntegratedGradients,0.397059851884842,0.49996270686388017,0.10290285497903817,False
7,resnet50,LRP,0.2696768023073673,0.49996905177831646,0.23029224947094917,False
7,resnet50,Random,0.3104542463785038,0.35984484208747747,0.049390595708973695,False
7,vit_base,Chefer-LRP,0.29651384577155115,0.3976351499557495,0.10112130418419835,False
7,vit_base,GradCAM,0.32572833597660067,0.3927377760410309,0.06700944006443021,False
7,vit_base,IntegratedGradients,0.35518869608640674,0.41634407043457033,0.061155374348163594,False
7,vit_base,Random,0.4249588415026665,0.413911509513855,-0.01104733198881147,True
8,mobilevit_s,GradCAM,0.00025331129145342854,7.59315885261458e-05,-0.00017737970292728276,True
8,mobilevit_s,IntegratedGradients,4.416980291352957e-05,4.195692076791602e-05,-2.2128821456135538e-06,True
8,mobilevit_s,Random,3.860209517370095e-05,5.1335056832613196e-05,1.2732961658912244e-05,False
8,resnet50,GradCAM,0.0014521166065605941,0.022858169162645936,0.021406052556085343,False
8,resnet50,IntegratedGradients,0.001038743287062971,0.02782634850591421,0.02678760521885124,False
8,resnet50,LRP,0.0010287535089446465,0.013762989779934287,0.01273423627098964,False
